Count_Centriole,Count_Cilia,Count_Nucleus,ImageNumber
238.0,504.0,344.0,1
318.0,422.0,339.0,2
302.0,509.0,406.0,3
315.0,450.0,394.0,4
263.0,486.0,487.0,5
283.0,580.0,380.0,6
307.0,527.0,251.0,7
186.0,244.0,241.0,8
242.0,275.0,260.0,9
210.0,278.0,245.0,10
167.0,240.0,216.0,11
277.0,187.0,268.0,12
174.0,293.0,357.0,13
272.0,212.0,238.0,14
716.0,283.0,213.0,15
258.0,275.0,247.0,16
290.0,264.0,277.0,17
201.0,248.0,246.0,18
220.0,286.0,262.0,19
266.0,305.0,175.0,20
204.0,207.0,260.0,21
297.0,285.0,210.0,22
198.0,193.0,228.0,23
316.0,296.0,191.0,24
323.0,227.0,338.0,25
